cp	max_depth	min_split	min_bucket	ganancia_promedio
-1	9	1050	410	9896667
-1	9	1050	420	10015333
-1	9	1050	430	10052000
-1	9	1050	440	9932000
-1	9	1050	450	9854667
-1	9	1100	350	9938667
-1	9	1100	360	10103333
-1	9	1100	370	10136667
-1	9	1100	380	10110667
-1	9	1100	390	10140667
-1	9	1100	400	10128000
-1	9	1100	410	9896667
-1	9	1100	420	10015333
-1	9	1100	430	10052000
-1	9	1100	440	9932000
-1	9	1100	450	9854667
-1	10	900	350	9191333
-1	10	900	360	9283333
-1	10	900	370	9422667
-1	10	900	380	9424000
-1	10	900	390	9452000
-1	10	900	400	9437333
-1	10	900	410	9202000
-1	10	900	420	9544667
-1	10	900	430	9534000
-1	10	900	440	9561333
-1	10	900	450	9297333
-1	10	950	350	9574000
-1	10	950	360	9738667
-1	10	950	370	9805333
-1	10	950	380	9806667
-1	10	950	390	9834667
-1	10	950	400	9820667
-1	10	950	410	9586000
-1	10	950	420	9670667
-1	10	950	430	9696000
-1	10	950	440	9634667
-1	10	950	450	9557333
-1	10	1000	350	9821333
-1	10	1000	360	9986000
-1	10	1000	370	10019333
-1	10	1000	380	9983333
-1	10	1000	390	10013333
-1	10	1000	400	10000667
-1	10	1000	410	9769333
-1	10	1000	420	9888000
-1	10	1000	430	9924667
-1	10	1000	440	9804667
-1	10	1000	450	9727333
-1	10	1050	350	9938667
-1	10	1050	360	10103333
-1	10	1050	370	10136667
-1	10	1050	380	10110667
-1	10	1050	390	10140667
-1	10	1050	400	10128000
-1	10	1050	410	9896667
-1	10	1050	420	10015333
-1	10	1050	430	10052000
-1	10	1050	440	9932000
-1	10	1050	450	9854667
-1	10	1100	350	9938667
-1	10	1100	360	10103333
-1	10	1100	370	10136667
-1	10	1100	380	10110667
-1	10	1100	390	10140667
-1	10	1100	400	10128000
-1	10	1100	410	9896667
-1	10	1100	420	10015333
-1	10	1100	430	10052000
-1	10	1100	440	9932000
-1	10	1100	450	9854667
-1	11	900	350	9191333
-1	11	900	360	9283333
-1	11	900	370	9422667
-1	11	900	380	9424000
-1	11	900	390	9452000
-1	11	900	400	9437333
-1	11	900	410	9202000
-1	11	900	420	9544667
-1	11	900	430	9534000
-1	11	900	440	9561333
-1	11	900	450	9297333
-1	11	950	350	9574000
-1	11	950	360	9738667
-1	11	950	370	9805333
-1	11	950	380	9806667
-1	11	950	390	9834667
-1	11	950	400	9820667
-1	11	950	410	9586000
-1	11	950	420	9670667
-1	11	950	430	9696000
-1	11	950	440	9634667
-1	11	950	450	9557333
-1	11	1000	350	9821333
-1	11	1000	360	9986000
-1	11	1000	370	10019333
-1	11	1000	380	9983333
-1	11	1000	390	10013333
-1	11	1000	400	10000667
-1	11	1000	410	9769333
-1	11	1000	420	9888000
-1	11	1000	430	9924667
-1	11	1000	440	9804667
-1	11	1000	450	9727333
-1	11	1050	350	9938667
-1	11	1050	360	10103333
-1	11	1050	370	10136667
-1	11	1050	380	10110667
-1	11	1050	390	10140667
-1	11	1050	400	10128000
-1	11	1050	410	9896667
-1	11	1050	420	10015333
-1	11	1050	430	10052000
-1	11	1050	440	9932000
-1	11	1050	450	9854667
-1	11	1100	350	9938667
-1	11	1100	360	10103333
-1	11	1100	370	10136667
-1	11	1100	380	10110667
-1	11	1100	390	10140667
-1	11	1100	400	10128000
-1	11	1100	410	9896667
-1	11	1100	420	10015333
-1	11	1100	430	10052000
-1	11	1100	440	9932000
-1	11	1100	450	9854667
-1	12	900	350	9191333
-1	12	900	360	9283333
-1	12	900	370	9422667
-1	12	900	380	9424000
-1	12	900	390	9452000
-1	12	900	400	9437333
-1	12	900	410	9202000
-1	12	900	420	9544667
-1	12	900	430	9534000
-1	12	900	440	9561333
-1	12	900	450	9297333
-1	12	950	350	9574000
-1	12	950	360	9738667
-1	12	950	370	9805333
-1	12	950	380	9806667
-1	12	950	390	9834667
-1	12	950	400	9820667
-1	12	950	410	9586000
-1	12	950	420	9670667
-1	12	950	430	9696000
-1	12	950	440	9634667
-1	12	950	450	9557333
-1	12	1000	350	9821333
-1	12	1000	360	9986000
-1	12	1000	370	10019333
-1	12	1000	380	9983333
-1	12	1000	390	10013333
-1	12	1000	400	10000667
-1	12	1000	410	9769333
-1	12	1000	420	9888000
-1	12	1000	430	9924667
-1	12	1000	440	9804667
-1	12	1000	450	9727333
-1	12	1050	350	9938667
-1	12	1050	360	10103333
-1	12	1050	370	10136667
-1	12	1050	380	10110667
-1	12	1050	390	10140667
-1	12	1050	400	10128000
-1	12	1050	410	9896667
-1	12	1050	420	10015333
-1	12	1050	430	10052000
-1	12	1050	440	9932000
-1	12	1050	450	9854667
-1	12	1100	350	9938667
-1	12	1100	360	10103333
-1	12	1100	370	10136667
-1	12	1100	380	10110667
-1	12	1100	390	10140667
-1	12	1100	400	10128000
-1	12	1100	410	9896667
-1	12	1100	420	10015333
-1	12	1100	430	10052000
-1	12	1100	440	9932000
-1	12	1100	450	9854667
