cp	max_depth	min_split	min_bucket	ganancia_promedio
-0.3	6	1029	338	10466000
-0.3	6	1029	339	10466000
-0.3	6	1029	340	10465333
-0.3	6	1030	330	10413333
-0.3	6	1030	331	10413333
-0.3	6	1030	332	10412667
-0.3	6	1030	333	10520000
-0.3	6	1030	334	10520000
-0.3	6	1030	335	10520000
-0.3	6	1030	336	10467333
-0.3	6	1030	337	10466667
-0.3	6	1030	338	10466000
-0.3	6	1030	339	10466000
-0.3	6	1030	340	10465333
-0.3	6	1031	330	10413333
-0.3	6	1031	331	10413333
-0.3	6	1031	332	10412667
-0.3	6	1031	333	10520000
-0.3	6	1031	334	10520000
-0.3	6	1031	335	10520000
-0.3	6	1031	336	10467333
-0.3	6	1031	337	10466667
-0.3	6	1031	338	10466000
-0.3	6	1031	339	10466000
-0.3	6	1031	340	10465333
-0.3	6	1032	330	10413333
-0.3	6	1032	331	10413333
-0.3	6	1032	332	10412667
-0.3	6	1032	333	10520000
-0.3	6	1032	334	10520000
-0.3	6	1032	335	10520000
-0.3	6	1032	336	10467333
-0.3	6	1032	337	10466667
-0.3	6	1032	338	10466000
-0.3	6	1032	339	10466000
-0.3	6	1032	340	10465333
-0.3	6	1033	330	10413333
-0.3	6	1033	331	10413333
-0.3	6	1033	332	10412667
-0.3	6	1033	333	10520000
-0.3	6	1033	334	10520000
-0.3	6	1033	335	10520000
-0.3	6	1033	336	10467333
-0.3	6	1033	337	10466667
-0.3	6	1033	338	10466000
-0.3	6	1033	339	10466000
-0.3	6	1033	340	10465333
-0.3	6	1034	330	10413333
-0.3	6	1034	331	10413333
-0.3	6	1034	332	10412667
-0.3	6	1034	333	10520000
-0.3	6	1034	334	10520000
-0.3	6	1034	335	10520000
-0.3	6	1034	336	10467333
-0.3	6	1034	337	10466667
-0.3	6	1034	338	10466000
-0.3	6	1034	339	10466000
-0.3	6	1034	340	10465333
-0.3	6	1035	330	10413333
-0.3	6	1035	331	10413333
-0.3	6	1035	332	10412667
-0.3	6	1035	333	10520000
-0.3	6	1035	334	10520000
-0.3	6	1035	335	10520000
-0.3	6	1035	336	10467333
-0.3	6	1035	337	10466667
-0.3	6	1035	338	10466000
-0.3	6	1035	339	10466000
-0.3	6	1035	340	10465333
-0.3	7	1025	330	10015333
-0.3	7	1025	331	10015333
-0.3	7	1025	332	10014667
-0.3	7	1025	333	10112000
-0.3	7	1025	334	10112000
-0.3	7	1025	335	10116667
-0.3	7	1025	336	10064000
-0.3	7	1025	337	10063333
-0.3	7	1025	338	10062667
-0.3	7	1025	339	10062667
-0.3	7	1025	340	10062000
-0.3	7	1026	330	10015333
-0.3	7	1026	331	10015333
-0.3	7	1026	332	10014667
-0.3	7	1026	333	10112000
-0.3	7	1026	334	10112000
-0.3	7	1026	335	10116667
-0.3	7	1026	336	10064000
-0.3	7	1026	337	10063333
-0.3	7	1026	338	10062667
-0.3	7	1026	339	10062667
-0.3	7	1026	340	10062000
-0.3	7	1027	330	10015333
-0.3	7	1027	331	10015333
-0.3	7	1027	332	10014667
-0.3	7	1027	333	10112000
-0.3	7	1027	334	10112000
-0.3	7	1027	335	10116667
-0.3	7	1027	336	10064000
-0.3	7	1027	337	10063333
-0.3	7	1027	338	10062667
-0.3	7	1027	339	10062667
-0.3	7	1027	340	10062000
-0.3	7	1028	330	10015333
-0.3	7	1028	331	10015333
-0.3	7	1028	332	10014667
-0.3	7	1028	333	10112000
-0.3	7	1028	334	10112000
-0.3	7	1028	335	10116667
-0.3	7	1028	336	10064000
-0.3	7	1028	337	10063333
-0.3	7	1028	338	10062667
-0.3	7	1028	339	10062667
-0.3	7	1028	340	10062000
-0.3	7	1029	330	10015333
-0.3	7	1029	331	10015333
-0.3	7	1029	332	10014667
-0.3	7	1029	333	10112000
-0.3	7	1029	334	10112000
-0.3	7	1029	335	10116667
-0.3	7	1029	336	10064000
-0.3	7	1029	337	10063333
-0.3	7	1029	338	10062667
-0.3	7	1029	339	10062667
-0.3	7	1029	340	10062000
-0.3	7	1030	330	10015333
-0.3	7	1030	331	10015333
-0.3	7	1030	332	10014667
-0.3	7	1030	333	10112000
-0.3	7	1030	334	10112000
-0.3	7	1030	335	10116667
-0.3	7	1030	336	10064000
-0.3	7	1030	337	10063333
-0.3	7	1030	338	10062667
-0.3	7	1030	339	10062667
-0.3	7	1030	340	10062000
-0.3	7	1031	330	10015333
-0.3	7	1031	331	10015333
-0.3	7	1031	332	10014667
-0.3	7	1031	333	10112000
-0.3	7	1031	334	10112000
-0.3	7	1031	335	10116667
-0.3	7	1031	336	10064000
-0.3	7	1031	337	10063333
-0.3	7	1031	338	10062667
-0.3	7	1031	339	10062667
-0.3	7	1031	340	10062000
-0.3	7	1032	330	10015333
-0.3	7	1032	331	10015333
-0.3	7	1032	332	10014667
-0.3	7	1032	333	10112000
-0.3	7	1032	334	10112000
-0.3	7	1032	335	10116667
-0.3	7	1032	336	10064000
-0.3	7	1032	337	10063333
-0.3	7	1032	338	10062667
-0.3	7	1032	339	10062667
-0.3	7	1032	340	10062000
-0.3	7	1033	330	10015333
-0.3	7	1033	331	10015333
-0.3	7	1033	332	10014667
-0.3	7	1033	333	10112000
-0.3	7	1033	334	10112000
-0.3	7	1033	335	10116667
-0.3	7	1033	336	10064000
-0.3	7	1033	337	10063333
-0.3	7	1033	338	10062667
-0.3	7	1033	339	10062667
-0.3	7	1033	340	10062000
-0.3	7	1034	330	9995333
-0.3	7	1034	331	9995333
-0.3	7	1034	332	9994667
-0.3	7	1034	333	10092000
-0.3	7	1034	334	10092000
-0.3	7	1034	335	10096667
-0.3	7	1034	336	10044000
-0.3	7	1034	337	10043333
-0.3	7	1034	338	10042667
-0.3	7	1034	339	10042667
-0.3	7	1034	340	10042000
-0.3	7	1035	330	9995333
-0.3	7	1035	331	9995333
-0.3	7	1035	332	9994667
-0.3	7	1035	333	10092000
-0.3	7	1035	334	10092000
-0.3	7	1035	335	10096667
-0.3	7	1035	336	10044000
-0.3	7	1035	337	10043333
-0.3	7	1035	338	10042667
-0.3	7	1035	339	10042667
-0.3	7	1035	340	10042000
