cp	max_depth	min_split	min_bucket	ganancia_promedio
-0.3	7	1035	340	10042000
-0.3	7	1035	345	10072000
-0.3	7	1035	350	10019333
-0.3	7	1035	355	10186667
-0.3	7	1035	360	10184000
-0.3	7	1035	365	10183333
-0.3	7	1035	370	10217333
-0.3	7	1040	330	9995333
-0.3	7	1040	335	10096667
-0.3	7	1040	340	10042000
-0.3	7	1040	345	10072000
-0.3	7	1040	350	10019333
-0.3	7	1040	355	10186667
-0.3	7	1040	360	10184000
-0.3	7	1040	365	10183333
-0.3	7	1040	370	10217333
-0.3	7	1045	330	9995333
-0.3	7	1045	335	10096667
-0.3	7	1045	340	10042000
-0.3	7	1045	345	10072000
-0.3	7	1045	350	10019333
-0.3	7	1045	355	10186667
-0.3	7	1045	360	10184000
-0.3	7	1045	365	10183333
-0.3	7	1045	370	10217333
-0.3	7	1050	330	9995333
-0.3	7	1050	335	10096667
-0.3	7	1050	340	10042000
-0.3	7	1050	345	10072000
-0.3	7	1050	350	10019333
-0.3	7	1050	355	10186667
-0.3	7	1050	360	10184000
-0.3	7	1050	365	10183333
-0.3	7	1050	370	10217333
-0.3	7	1055	330	9995333
-0.3	7	1055	335	10096667
-0.3	7	1055	340	10042000
-0.3	7	1055	345	10072000
-0.3	7	1055	350	10019333
-0.3	7	1055	355	10186667
-0.3	7	1055	360	10184000
-0.3	7	1055	365	10183333
-0.3	7	1055	370	10217333
-0.3	7	1060	330	9995333
-0.3	7	1060	335	10096667
-0.3	7	1060	340	10042000
-0.3	7	1060	345	10072000
-0.3	7	1060	350	10019333
-0.3	7	1060	355	10186667
-0.3	7	1060	360	10184000
-0.3	7	1060	365	10183333
-0.3	7	1060	370	10217333
-0.3	7	1065	330	9995333
-0.3	7	1065	335	10096667
-0.3	7	1065	340	10042000
-0.3	7	1065	345	10072000
-0.3	7	1065	350	10019333
-0.3	7	1065	355	10186667
-0.3	7	1065	360	10184000
-0.3	7	1065	365	10183333
-0.3	7	1065	370	10217333
-0.3	7	1070	330	9995333
-0.3	7	1070	335	10096667
-0.3	7	1070	340	10042000
-0.3	7	1070	345	10072000
-0.3	7	1070	350	10019333
-0.3	7	1070	355	10186667
-0.3	7	1070	360	10184000
-0.3	7	1070	365	10183333
-0.3	7	1070	370	10217333
-0.3	8	1030	330	9934667
-0.3	8	1030	335	10036000
-0.3	8	1030	340	9981333
-0.3	8	1030	345	9991333
-0.3	8	1030	350	9948667
-0.3	8	1030	355	10116000
-0.3	8	1030	360	10113333
-0.3	8	1030	365	10112667
-0.3	8	1030	370	10146667
-0.3	8	1035	330	9914667
-0.3	8	1035	335	10016000
-0.3	8	1035	340	9961333
-0.3	8	1035	345	9991333
-0.3	8	1035	350	9938667
-0.3	8	1035	355	10106000
-0.3	8	1035	360	10103333
-0.3	8	1035	365	10102667
-0.3	8	1035	370	10136667
-0.3	8	1040	330	9914667
-0.3	8	1040	335	10016000
-0.3	8	1040	340	9961333
-0.3	8	1040	345	9991333
-0.3	8	1040	350	9938667
-0.3	8	1040	355	10106000
-0.3	8	1040	360	10103333
-0.3	8	1040	365	10102667
-0.3	8	1040	370	10136667
-0.3	8	1045	330	9914667
-0.3	8	1045	335	10016000
-0.3	8	1045	340	9961333
-0.3	8	1045	345	9991333
-0.3	8	1045	350	9938667
-0.3	8	1045	355	10106000
-0.3	8	1045	360	10103333
-0.3	8	1045	365	10102667
-0.3	8	1045	370	10136667
-0.3	8	1050	330	9914667
-0.3	8	1050	335	10016000
-0.3	8	1050	340	9961333
-0.3	8	1050	345	9991333
-0.3	8	1050	350	9938667
-0.3	8	1050	355	10106000
-0.3	8	1050	360	10103333
-0.3	8	1050	365	10102667
-0.3	8	1050	370	10136667
-0.3	8	1055	330	9914667
-0.3	8	1055	335	10016000
-0.3	8	1055	340	9961333
-0.3	8	1055	345	9991333
-0.3	8	1055	350	9938667
-0.3	8	1055	355	10106000
-0.3	8	1055	360	10103333
-0.3	8	1055	365	10102667
-0.3	8	1055	370	10136667
-0.3	8	1060	330	9914667
-0.3	8	1060	335	10016000
-0.3	8	1060	340	9961333
-0.3	8	1060	345	9991333
-0.3	8	1060	350	9938667
-0.3	8	1060	355	10106000
-0.3	8	1060	360	10103333
-0.3	8	1060	365	10102667
-0.3	8	1060	370	10136667
-0.3	8	1065	330	9914667
-0.3	8	1065	335	10016000
-0.3	8	1065	340	9961333
-0.3	8	1065	345	9991333
-0.3	8	1065	350	9938667
-0.3	8	1065	355	10106000
-0.3	8	1065	360	10103333
-0.3	8	1065	365	10102667
-0.3	8	1065	370	10136667
-0.3	8	1070	330	9914667
-0.3	8	1070	335	10016000
-0.3	8	1070	340	9961333
-0.3	8	1070	345	9991333
-0.3	8	1070	350	9938667
-0.3	8	1070	355	10106000
-0.3	8	1070	360	10103333
-0.3	8	1070	365	10102667
-0.3	8	1070	370	10136667
-0.3	9	1030	330	9934667
-0.3	9	1030	335	10036000
-0.3	9	1030	340	9981333
-0.3	9	1030	345	9991333
-0.3	9	1030	350	9948667
-0.3	9	1030	355	10116000
-0.3	9	1030	360	10113333
-0.3	9	1030	365	10112667
-0.3	9	1030	370	10146667
-0.3	9	1035	330	9914667
-0.3	9	1035	335	10016000
-0.3	9	1035	340	9961333
-0.3	9	1035	345	9991333
-0.3	9	1035	350	9938667
-0.3	9	1035	355	10106000
-0.3	9	1035	360	10103333
-0.3	9	1035	365	10102667
-0.3	9	1035	370	10136667
-0.3	9	1040	330	9914667
-0.3	9	1040	335	10016000
-0.3	9	1040	340	9961333
-0.3	9	1040	345	9991333
-0.3	9	1040	350	9938667
-0.3	9	1040	355	10106000
-0.3	9	1040	360	10103333
-0.3	9	1040	365	10102667
-0.3	9	1040	370	10136667
-0.3	9	1045	330	9914667
-0.3	9	1045	335	10016000
-0.3	9	1045	340	9961333
-0.3	9	1045	345	9991333
-0.3	9	1045	350	9938667
-0.3	9	1045	355	10106000
-0.3	9	1045	360	10103333
-0.3	9	1045	365	10102667
-0.3	9	1045	370	10136667
-0.3	9	1050	330	9914667
-0.3	9	1050	335	10016000
-0.3	9	1050	340	9961333
-0.3	9	1050	345	9991333
-0.3	9	1050	350	9938667
-0.3	9	1050	355	10106000
-0.3	9	1050	360	10103333
-0.3	9	1050	365	10102667
-0.3	9	1050	370	10136667
-0.3	9	1055	330	9914667
-0.3	9	1055	335	10016000
-0.3	9	1055	340	9961333
-0.3	9	1055	345	9991333
-0.3	9	1055	350	9938667
-0.3	9	1055	355	10106000
-0.3	9	1055	360	10103333
-0.3	9	1055	365	10102667
-0.3	9	1055	370	10136667
-0.3	9	1060	330	9914667
-0.3	9	1060	335	10016000
-0.3	9	1060	340	9961333
-0.3	9	1060	345	9991333
-0.3	9	1060	350	9938667
-0.3	9	1060	355	10106000
-0.3	9	1060	360	10103333
-0.3	9	1060	365	10102667
-0.3	9	1060	370	10136667
-0.3	9	1065	330	9914667
-0.3	9	1065	335	10016000
-0.3	9	1065	340	9961333
-0.3	9	1065	345	9991333
-0.3	9	1065	350	9938667
-0.3	9	1065	355	10106000
-0.3	9	1065	360	10103333
-0.3	9	1065	365	10102667
-0.3	9	1065	370	10136667
-0.3	9	1070	330	9914667
-0.3	9	1070	335	10016000
-0.3	9	1070	340	9961333
-0.3	9	1070	345	9991333
-0.3	9	1070	350	9938667
-0.3	9	1070	355	10106000
-0.3	9	1070	360	10103333
-0.3	9	1070	365	10102667
-0.3	9	1070	370	10136667
