Feature	Gain	Cover	Frequency
ctrx_quarter	0.178302870961601	0.033657263224619	0.0344933785032338
mpasivos_margen	0.0505100414174128	0.0195803516665882	0.0332614721281183
mtarjeta_visa_consumo	0.0447949528124847	0.0151038477836831	0.0210450672415563
cpayroll_trx	0.038732685965775	0.0160086207417913	0.00359306026075352
mcuentas_saldo	0.0366123742266612	0.025888710853201	0.0230982445334155
mpayroll	0.034286817982358	0.029052528162281	0.0103685453238887
mactivos_margen	0.033886033441989	0.0249682800660732	0.0278205523046915
mrentabilidad_annual	0.0334019683163309	0.0199552339045694	0.0258700338774253
cliente_edad	0.0246214258154447	0.0243649655995182	0.0328508366697464
mcaja_ahorro	0.0223308591057762	0.0210236040061783	0.0307976593778873
Master_fechaalta	0.0195512858733331	0.0252140707490551	0.0319269068884098
Visa_mpagominimo	0.0188336363639113	0.0154454370092532	0.0218663381583
mcuenta_corriente	0.017158462450908	0.0113864165334519	0.0152961708243507
chomebanking_trx	0.0153446707135813	0.0120142240307484	0.0190945488142901
Master_mfinanciacion_limite	0.0151840353844381	0.0168573233764434	0.0262806693357971
mprestamos_personales	0.014102724420684	0.0220924822828294	0.0067754850631352
Visa_Fvencimiento	0.0140290197749691	0.0115152011708514	0.0215583615645211
mrentabilidad	0.0133883636964976	0.0155764254156472	0.019402525408069
Visa_mpagospesos	0.01323946821099	0.00996710376663668	0.0176573247099887
cliente_antiguedad	0.0131972363421079	0.011434904482765	0.0173493481162098
Master_Fvencimiento	0.012904016266342	0.0178477515020422	0.0213530438353352
numero_de_cliente	0.0125449475107597	0.0122000148387112	0.0191972076788831
mcomisiones_otras	0.0121953932484518	0.0109772752473361	0.0196078431372549
Visa_msaldototal	0.0121544063094617	0.0118827375121845	0.0137562878554563
ctarjeta_visa_trx	0.0120714180536146	0.0157767771995685	0.0150908530951648
Visa_fechaalta	0.0104386353501804	0.0101471587374907	0.0161174417410943
cprestamos_personales	0.0103952276307735	0.00470805057040032	0.00297710707319577
mcaja_ahorro_dolares	0.00980207757202452	0.0177840283643384	0.0203264551894056
mautoservicio	0.00964308598151668	0.0162175410613233	0.0166307360640591
mtransferencias_recibidas	0.00934520919945733	0.00885652997935391	0.0176573247099887
mcomisiones_mantenimiento	0.00918182903299386	0.0129375629879191	0.0106765219176676
Visa_mconsumospesos	0.00905788172613995	0.009211049995599	0.0174520069808028
Master_mlimitecompra	0.00876757820423324	0.0100897248948624	0.0159121240119084
mcomisiones	0.00839818138773036	0.0084152378168128	0.0125243814803408
Visa_mfinanciacion_limite	0.00819202895831264	0.00810061708852591	0.0134483112616774
Visa_mlimitecompra	0.00812188105854605	0.0125407738773314	0.0135509701262704
mtransferencias_emitidas	0.00812122759871004	0.0106234696950116	0.012113746021969
cproductos	0.00795106508464432	0.00726539870251541	0.00852068576121548
Visa_msaldopesos	0.00767895530192183	0.013407956976633	0.0171440303870239
Visa_mconsumototal	0.00752065866194477	0.00861021099558565	0.0136536289908634
ccomisiones_otras	0.00683950579529006	0.0123185101893675	0.0143722410430141
Visa_cconsumos	0.00669834224358652	0.00949659405489339	0.0134483112616774
ctransferencias_recibidas	0.00652473362011743	0.0168393208982196	0.0124217226157479
ccomisiones_mantenimiento	0.00630581513691517	0.0141349743301667	0.00595421414639154
mtarjeta_visa_debitos_automaticos	0.00619781739009815	0.00804596059860283	0.0129350169387127
mextraccion_autoservicio	0.00527974405539325	0.00909592067566712	0.0113951339698183
ccallcenter_trx	0.00527771968671966	0.00663345536477725	0.00277178934400986
cextraccion_autoservicio	0.00525847708815135	0.00561026252755378	0.00718612052150703
ctransferencias_emitidas	0.00523185085831045	0.0134047117003741	0.00749409711528591
Master_mpagospesos	0.00495142489257751	0.0129332560786515	0.00800739143825069
Visa_mpagado	0.00463130596318052	0.0114030454296312	0.00739143825069295
mpagomiscuentas	0.0045058427236083	0.0103719381434848	0.00831536803202957
ctarjeta_debito_trx	0.00447042949913082	0.0100112596495019	0.0141669233138281
thomebanking	0.00438465457726772	0.00389205730157624	0.00318242480238169
Master_msaldopesos	0.00429962311713818	0.00555435824148774	0.00585155528179858
Master_mpagominimo	0.00385057740931669	0.00465133622312857	0.00441433117749718
Master_status	0.00360419332594644	0.0122787014672583	0.00215583615645211
mcuenta_debitos_automaticos	0.00350288331669851	0.00565516306295594	0.00769941484447182
ctarjeta_visa_debitos_automaticos	0.00345439237951215	0.00658656741213128	0.00585155528179858
Visa_mconsumosdolares	0.00312602473236157	0.00531584301504902	0.00657016733394929
Master_msaldototal	0.00290268873634539	0.00393458299915793	0.00523560209424084
ccuenta_debitos_automaticos	0.00278237516983224	0.00948708464073941	0.00636484960476337
ctarjeta_debito	0.00272999961339961	0.00401022057745248	0.00503028436505492
cpagomiscuentas	0.0027003637764361	0.00739678459235813	0.00574889641720563
ccajas_consultas	0.00251583584288546	0.00698945965466014	0.00174520069808028
mdescubierto_preacordado	0.00249621398136708	0.00554117084757368	0.00195051842726619
ccaja_ahorro	0.00233140996284647	0.0081464132195468	0.00277178934400986
mplazo_fijo_dolares	0.00203467069099409	0.0140622197647347	0.00246381275023098
Master_fultimo_cierre	0.00181500902388489	0.00223275006612062	0.00379837798993943
cmobile_app_trx	0.00174710138084182	0.00192934944024821	0.00287444820860281
matm	0.00172658294087604	0.00535544041684361	0.00615953187557746
Master_mconsumototal	0.00164359780242817	0.00248168539664023	0.00307976593778873
tcallcenter	0.00143792285349948	0.00219721303322669	0.00112924751052253
Visa_Finiciomora	0.00139221077018391	0.00571839311992578	0.00133456523970845
Master_cconsumos	0.00137799211729292	0.00317013679277166	0.00307976593778873
Visa_mpagosdolares	0.00134327418651955	0.0039793426543504	0.00307976593778873
Visa_fultimo_cierre	0.0012539126783328	0.00275959676743114	0.0041063545837183
catm_trx	0.00124215221808824	0.00412518385999437	0.00390103685453239
Visa_msaldodolares	0.00122567933401283	0.00326399823247664	0.00256647161482394
ccaja_seguridad	0.00119657578105149	0.0064453148761743	0.00133456523970845
Visa_status	0.00110289520227393	0.00599910196916621	0.00133456523970845
tpaquete9	0.00107521208096358	0.00787992824004885	0.00174520069808028
cseguro_accidentes_personales	0.0010369509887418	0.00677236828296619	0.00174520069808028
ctarjeta_master	0.000972648307625984	0.000483294590772525	0.000923929781336618
Master_mconsumospesos	0.000936595483450438	0.0017754629683438	0.00215583615645211
mtarjeta_master_consumo	0.000922856776293903	0.00205678062134754	0.00143722410430141
cinversion1	0.000863751061593823	0.00695789242481779	0.000923929781336618
cplazo_fijo	0.000806432183773464	0.00255295568843444	0.000718612052150703
tpaquete7	0.000723477092522812	0.00824511490074179	0.00123190637511549
active_quarter	0.00070651993058548	0.00024606741196524	0.000615953187557746
ccajas_trx	0.000674327407815868	0.00314410917403171	0.00123190637511549
