Feature	Gain	Cover	Frequency
ctrx_quarter	0.155494252166522	0.0263401947955403	0.0268013606844655
mpasivos_margen	0.0510958832707851	0.0220470000534335	0.0271106071539017
Visa_msaldototal	0.048242268105483	0.0142508628943921	0.0193794454179981
mpayroll	0.0428251147636527	0.0293216500166421	0.0108236264302649
mcuentas_saldo	0.0356399309857572	0.0266926413020183	0.0290691681269972
cpayroll_trx	0.0330775563199099	0.0160954344558589	0.00371095763323369
mactivos_margen	0.0319256457264128	0.0254299625991777	0.0289660859705185
mrentabilidad_annual	0.0268075027082552	0.0258833506746671	0.0299969075353056
cliente_edad	0.025313702179591	0.028237623816332	0.0360787547675497
mcuenta_corriente	0.0243499746790926	0.0121681147096123	0.01762704875786
mtarjeta_visa_consumo	0.0232217408917249	0.0144381655279047	0.0193794454179981
mcaja_ahorro	0.0218531946313781	0.0141201091773752	0.0264921142150294
Master_fechaalta	0.0216066521681685	0.0264343645191041	0.0317493041954438
ctarjeta_visa_trx	0.0200884963213676	0.0206099713741271	0.0208225956087001
mprestamos_personales	0.0196342941073765	0.01998050529948	0.00597876507576539
cliente_antiguedad	0.0184614354124436	0.0160148234494743	0.0252551283372848
numero_de_cliente	0.0146567958521213	0.0123235716379806	0.021234924234615
Master_Fvencimiento	0.0144258023057873	0.0193170497697983	0.023399649520668
Visa_mpagospesos	0.0138689022232626	0.0138509934347359	0.0236058138336254
Visa_Fvencimiento	0.0131140598936815	0.0117875039376378	0.0222657457994021
mautoservicio	0.0118714565698863	0.0168096437650667	0.0196886918874343
mcomisiones_otras	0.0118162900880383	0.0113717717305465	0.01762704875786
Visa_fechaalta	0.0115673652998966	0.0138724559774449	0.0208225956087001
mcomisiones_mantenimiento	0.0115018178007943	0.0185574911346425	0.0115452015256159
Visa_mlimitecompra	0.0109174217260937	0.0143428137366444	0.0191732811050407
Master_mfinanciacion_limite	0.0107535953809515	0.0109168810266294	0.018348623853211
Visa_mfinanciacion_limite	0.0104996648758363	0.0112100037627819	0.0158746520977219
Master_mlimitecompra	0.0103823832123955	0.0105820904041768	0.0170085558189877
mrentabilidad	0.0102617288296018	0.013183816395315	0.0171116379754664
ccomisiones_otras	0.0091984975453769	0.0164654216448496	0.0162869807236367
cextraccion_autoservicio	0.00885895361430731	0.00379890011205401	0.00587568291928667
Visa_mconsumospesos	0.00842252134251508	0.00759945812413991	0.0152561591588496
Visa_msaldopesos	0.00823642522978226	0.0138866107372338	0.0162869807236367
chomebanking_trx	0.00806217689518753	0.0100914471612033	0.0109267085867436
cprestamos_personales	0.00802298815121601	0.00399813862404395	0.00247397175548913
mcomisiones	0.00778963675621844	0.0113099035094167	0.0136068446551902
ctransferencias_recibidas	0.00761129945021147	0.0141416819128356	0.0115452015256159
ccomisiones_mantenimiento	0.00751213811483438	0.017316440263638	0.00721575095350995
Visa_mpagominimo	0.00746838510993247	0.00981952651216561	0.0141222554375838
mtransferencias_recibidas	0.00740278021781229	0.00912218170267796	0.0156684877847645
mtarjeta_visa_debitos_automaticos	0.00728466284082377	0.00991058579488413	0.0126791052468818
mtransferencias_emitidas	0.00715829378269642	0.00950431012936449	0.0122667766209669
Visa_cconsumos	0.00715337050214211	0.00727337773780653	0.0129883517163179
mcaja_ahorro_dolares	0.0068824347525706	0.0143807751394895	0.0145345840634986
thomebanking	0.00662787447812046	0.00308219643965618	0.0038140397897124
Visa_mconsumototal	0.0060733177939789	0.00940177076545836	0.0114421193691372
cproductos	0.00596671799186108	0.00681024762134421	0.00845273683125451
mextraccion_autoservicio	0.0055938603302565	0.00811436881622071	0.0103082156478714
ccallcenter_trx	0.00523284793028537	0.00708511342210021	0.00247397175548913
Master_status	0.00489641871401439	0.0125022191317496	0.00247397175548913
Master_mpagospesos	0.00476769998813383	0.015312870579475	0.00948355839604165
ctransferencias_emitidas	0.00472137013306693	0.012626271125979	0.00659725801463767
mpagomiscuentas	0.00413454177467022	0.0108704347819292	0.00804040820533966
Visa_mpagado	0.00395204860713014	0.0101210789937975	0.00639109370168024
mcuenta_debitos_automaticos	0.0039505703073817	0.00645672923992106	0.00896814761364808
ctarjeta_visa_debitos_automaticos	0.00382347138156507	0.00431878450423049	0.00628801154520153
Master_mpagominimo	0.00375317995189647	0.00491070490323083	0.00463869704154211
ccaja_ahorro	0.00349740030492923	0.0114902539820705	0.00371095763323369
ctarjeta_debito_trx	0.00340898581478991	0.00709004705210448	0.0137099268116689
Master_msaldopesos	0.00325266696800282	0.00484590655666705	0.00494794351097825
cpagomiscuentas	0.00323766716658282	0.00805985846562524	0.00731883310998866
Visa_mconsumosdolares	0.00280448843323841	0.00383071075586838	0.0053602721368931
ctarjeta_debito	0.0027663554089255	0.00209041158976104	0.00329862900731883
Master_msaldototal	0.00270377593596971	0.00372988438836982	0.00463869704154211
