fecha	num.trees	mtry	min.node.size	max.depth	xval_folds	ganancia	iteracion
20220525 111347	462	6	1458	38	5	11312000	1
20220525 111808	770	8	1975	31	5	11410000	2
20220525 112331	714	11	1476	34	5	11833000	3
20220525 112841	532	15	2154	22	5	11578000	4
20220525 113238	323	18	1826	23	5	11460000	5
20220525 114308	948	19	1607	13	5	11690000	6
20220525 114630	894	4	1307	49	5	11103000	7
20220525 115328	835	13	2280	36	5	11492000	8
20220525 115902	819	10	1698	18	5	11665000	9
20220525 120542	638	15	1055	40	5	11501000	10
20220525 120810	384	9	1935	27	5	11664000	11
20220525 121005	688	2	2498	44	5	10540000	12
20220525 121423	403	16	1193	16	5	11598000	13
20220525 121606	586	3	2367	12	5	10395000	14
20220525 122243	506	20	2061	47	5	11396000	15
20220525 122723	977	6	1099	29	5	11705000	16
20220525 123025	402	10	1000	27	5	11299000	17
20220525 123622	681	13	1557	29	5	11820000	18
20220525 124426	1000	12	1414	29	5	11621000	19
20220525 124831	492	12	1716	40	5	12003000	20
20220525 125050	300	11	1760	50	5	11196000	21
20220525 125508	531	12	1713	22	5	12120000	22
20220525 125825	506	12	1862	10	5	11589000	23
20220525 130240	522	12	1694	29	5	12052000	24
20220525 130633	473	12	1644	22	5	11807000	25
20220525 131139	588	13	1723	24	5	11884000	26
20220525 131648	630	12	1719	35	5	11957000	27
20220525 132050	546	11	1720	16	5	11679000	28
20220525 132514	558	12	2238	23	5	11807000	29
20220525 132956	573	12	1650	23	5	11998000	30
20220525 133343	468	12	1669	17	5	11963000	31
20220525 133913	768	12	1672	12	5	11769000	32
20220525 134315	489	12	1658	45	5	11992000	33
20220525 134658	566	12	1712	10	5	11709000	34
20220525 135203	614	12	1754	20	5	11814000	35
20220525 135657	601	12	1689	50	5	11988000	36
20220525 140311	766	12	1660	42	5	11956000	37
20220525 141035	911	12	1676	24	5	11913000	38
20220525 141525	592	12	1685	23	5	11929000	39
20220525 141955	550	12	1721	42	5	11989000	40
20220525 142623	806	12	1740	31	5	11661000	41
20220525 143158	680	12	1525	46	5	11759000	42
20220525 143619	536	12	1882	33	5	11879000	43
20220525 144037	530	12	1688	18	5	11915000	44
20220525 144453	521	12	1707	25	5	11999000	45
20220525 144843	464	12	1660	30	5	11926000	46
20220525 145117	300	12	1694	42	5	11791000	47
20220525 145908	979	12	1713	49	5	11952000	48
20220525 150456	659	13	1655	50	5	11872000	49
20220525 151059	808	11	1655	21	5	11653000	50
20220525 151347	335	12	1719	21	5	11876000	51
20220525 151806	529	12	1719	22	5	12064000	52
20220525 152233	541	12	1687	27	5	11975000	53
20220525 152806	634	13	1689	36	5	11860000	54
20220525 153309	622	12	1745	29	5	11900000	55
20220525 154102	977	12	1693	43	5	11858000	56
20220525 154533	514	13	1662	22	5	11617000	57
20220525 154959	532	12	1706	40	5	12004000	58
20220525 155806	978	12	1652	22	5	11965000	59
20220525 160331	665	12	1713	50	5	11898000	60
20220525 160738	502	12	1771	40	5	11627000	61
20220525 161350	709	13	1720	46	5	11889000	62
20220525 161638	309	13	1713	40	5	11916000	63
20220525 162136	606	12	1672	36	5	11958000	64
20220525 162539	459	13	1744	38	5	11971000	65
20220525 163320	888	13	1736	34	5	11885000	66
20220525 163857	689	12	1648	50	5	11875000	67
20220525 164158	334	13	1763	28	5	11710000	68
20220525 164720	610	13	1607	42	5	11556000	69
20220525 165119	444	13	1737	50	5	11866000	70
20220525 165553	567	12	1915	39	5	11765000	71
20220525 170324	932	12	1882	45	5	11743000	72
20220525 170634	351	13	1681	50	5	11711000	73
20220525 170920	328	12	1885	50	5	11723000	74
20220525 171442	709	11	1514	28	5	11648000	75
20220525 172320	999	13	1671	47	5	11711000	76
20220525 172738	487	13	1728	35	5	11920000	77
20220525 173356	727	13	1757	42	5	11883000	78
20220525 173926	795	13	1745	10	5	11581000	79
20220525 174623	925	11	1452	21	5	11646000	80
20220525 175426	987	12	1713	21	5	11953000	81
20220525 175934	613	12	1716	21	5	12021000	82
20220525 180655	830	13	1522	26	5	11887000	83
20220525 181032	401	13	1530	19	5	11471000	84
20220525 181834	920	13	1539	44	5	11778000	85
20220525 182705	998	13	1548	17	5	11801000	86
20220525 183437	858	13	1491	31	5	11650000	87
20220525 184123	850	12	1899	20	5	11727000	88
20220525 184514	483	12	2213	44	5	11707000	89
20220525 184748	320	11	1468	49	5	11762000	90
20220525 185459	936	12	2215	17	5	11779000	91
20220525 190225	944	12	2243	40	5	11896000	92
20220525 191107	996	13	1713	38	5	11827000	93
20220525 191754	873	12	2267	26	5	11839000	94
20220525 192233	592	12	2260	50	5	11688000	95
20220525 192546	410	11	1481	23	5	12039000	96
20220525 192829	386	11	1471	12	5	11753000	97
20220525 193056	307	11	1492	27	5	11908000	98
20220525 193411	410	11	1479	32	5	11926000	99
20220525 194031	785	12	1574	42	5	11660000	100
20220525 194443	554	11	1488	21	5	11830000	101
20220525 194742	385	11	1455	25	5	11914000	102
20220525 195349	762	12	1656	25	5	11951000	103
20220525 200116	962	12	2187	36	5	11708000	104
20220525 200540	541	12	1669	50	5	11992000	105
20220525 201254	947	12	2301	39	5	11888000	106
20220525 201724	580	12	2312	29	5	11769000	107
20220525 202505	991	12	2346	35	5	11774000	108
20220525 202950	578	12	1710	31	5	11943000	109
20220525 203408	521	12	1693	38	5	12108000	110
20220525 203832	537	12	1693	43	5	12052000	111
20220525 204541	979	12	2307	14	5	11782000	112
20220525 204939	483	12	1714	21	5	12052000	113
20220525 205212	320	11	1471	22	5	11965000	114
20220525 205731	837	12	2249	10	5	11346000	115
20220525 210154	504	13	1792	44	5	11784000	116
