fecha	cp	minsplit	minbucket	maxdepth	xval_folds	ganancia	iteracion
20220517 192958	-0.179604765565143	1249	345	6	5	10677000	89
20220517 193033	-0.141001431131828	8000	629	19	5	8452000	90
20220517 193118	-0.348324562705512	377	187	20	5	8524000	91
20220517 193154	-0.65429550641817	3986	234	16	5	10660000	92
20220517 193223	-0.999981858695086	3912	1493	11	5	10039000	93
20220517 193257	-0.66189421855559	3861	461	19	5	10708000	94
20220517 193323	-0.53923584690299	7998	1890	9	5	8452000	95
20220517 193344	-0.677717694432537	7983	349	5	5	8452000	96
20220517 193418	-0.705116290874662	3814	292	12	5	10708000	97
20220517 193456	-0.857808894325156	3883	409	17	5	10708000	98
20220517 193521	-0.738936038668053	836	349	5	5	11148000	99
20220517 193548	-0.262007239492523	4339	1111	6	5	10051000	100
20220517 193625	-0.99966500298564	3568	323	11	5	10708000	101
20220517 193643	-0.999839066880857	3958	1969	3	5	8746000	102
20220517 193716	-0.993350384128798	2919	1459	20	5	9872000	103
20220517 193752	-0.291023404850535	4078	694	20	5	10662000	104
20220517 193827	-0.482011436983297	4098	649	17	5	10662000	105
20220517 193853	-0.507217961926328	746	369	5	5	11116000	106
20220517 193916	-0.50579874377325	5332	383	5	5	10037000	107
20220517 193941	-0.0844541657893652	811	405	5	5	11030000	108
20220517 194014	-0.22386345773534	4787	1032	16	5	10202000	109
20220517 194048	-0.291960711575009	3021	1502	19	5	9905000	110
20220517 194119	-0.978343228902687	4154	2000	15	5	10154000	111
20220517 194143	-0.122442368524365	1771	303	5	5	11004000	112
20220517 194223	-0.937618342826131	4030	314	16	5	10708000	113
20220517 194302	-0.124758709884279	3471	425	20	5	10708000	114
20220517 194332	-0.315593445565919	6195	2000	15	5	9679000	115
20220517 194404	-0.0982759238262515	4002	2000	20	5	10154000	116
20220517 194442	-0.409040668609779	3280	496	20	5	10664000	117
20220517 194520	-0.928463444617422	3324	443	20	5	10676000	118
