fecha	gamma	alpha	lambda	subsample	tree_method	grow_policy	max_bin	max_depth	scale_pos_weight	eta	colsample_bytree	min_child_weight	max_leaves	prob_corte	nrounds	ganancia	iteracion
20220616 221350	0	0	0	1	hist	lossguide	256	0	1	0.0172248724903373	0.945875126372798	10	1024	0.0141984344827973	168	13475000	72
20220616 221501	0	0	0	1	hist	lossguide	256	0	1	0.047105547412896	0.95618868010808	8	2	0.0160287306528189	410	13212000	73
20220616 221631	0	0	0	1	hist	lossguide	256	0	1	0.0398043970886428	0.405833204967074	8	2	0.0161964362818704	569	13140000	74
20220616 221707	0	0	0	1	hist	lossguide	256	0	1	0.264599415482794	0.272296624927021	9	3	0.0153372011623242	115	12601000	75
20220616 221915	0	0	0	1	hist	lossguide	256	0	1	0.0192256028009236	0.940204597470907	10	678	0.0140642411550994	129	13381000	76
20220616 222002	0	0	0	1	hist	lossguide	256	0	1	0.169744298413014	0.944411676942925	8	2	0.0150924829384627	279	13055000	77
20220616 222046	0	0	0	1	hist	lossguide	256	0	1	0.289094468425346	0.817399039281773	8	2	0.019673865957096	267	12992000	78
20220616 222121	0	0	0	1	hist	lossguide	256	0	1	0.210324813015096	0.478870887925108	8	2	0.0150647994702188	183	13029000	79
20220616 222207	0	0	0	1	hist	lossguide	256	0	1	0.137035938859963	0.964089324502248	10	2	0.0223220087646196	257	12713000	80
20220616 222301	0	0	0	1	hist	lossguide	256	0	1	0.299778745182216	0.953879477356644	10	2	0.028537257467899	351	11578000	81
20220616 222641	0	0	0	1	hist	lossguide	256	0	1	0.0100486283035234	0.615092079120434	10	1021	0.0134012036929288	265	13501000	82
20220616 223030	0	0	0	1	hist	lossguide	256	0	1	0.0100290324407396	0.625639740561675	10	613	0.0134931080141596	271	13431000	83
20220616 223422	0	0	0	1	hist	lossguide	256	0	1	0.0101410204053135	0.53386568107364	10	1022	0.0147907507107212	263	13698000	84
20220616 223831	0	0	0	1	hist	lossguide	256	0	1	0.0101636985678901	0.549329706483705	3	867	0.00833458191051556	91	12757000	85
20220616 224204	0	0	0	1	hist	lossguide	256	0	1	0.0100467514944223	0.523095031743585	10	1024	0.0249917375761864	203	11777000	86
20220616 224425	0	0	0	1	hist	lossguide	256	0	1	0.0101730127481784	0.250628656986107	4	3	0.00839820783180976	466	11663000	87
20220616 224906	0	0	0	1	hist	lossguide	256	0	1	0.0100413050982008	0.200765601332983	10	1003	0.0148319409019107	508	12972000	88
20220616 225315	0	0	0	1	hist	lossguide	256	0	1	0.0101029272403057	0.491076301722101	7	902	0.0143859178659073	272	13180000	89
20220616 225656	0	0	0	1	hist	lossguide	256	0	1	0.0104345970785153	0.909443489408568	9	545	0.0136024666698836	237	13555000	90
20220616 225720	0	0	0	1	hist	lossguide	256	0	1	0.2885387312187	0.773047132047831	10	3	0.0157319422691968	63	12740000	91
20220616 225754	0	0	0	1	hist	lossguide	256	0	1	0.299843520747011	0.552887251784402	9	2	0.0206820085738909	187	12931000	92
20220616 225842	0	0	0	1	hist	lossguide	256	0	1	0.095519667733773	0.968876692241038	10	2	0.0150320483843283	253	13049000	93
20220616 225935	0	0	0	1	hist	lossguide	256	0	1	0.0612946808812463	0.54679906585738	10	1023	0.0147599683225786	39	13405000	94
20220616 230641	0	0	0	1	hist	lossguide	256	0	1	0.0102129359897345	0.323344417478652	7	2	0.0136613984668321	3197	13069000	95
20220616 231021	0	0	0	1	hist	lossguide	256	0	1	0.0127621597413603	0.889736323668421	8	3	0.0212067265364506	1231	12602000	96
20220616 231100	0	0	0	1	hist	lossguide	256	0	1	0.181482057128094	0.984660955379656	10	1024	0.0314220395084885	21	9324000	97
20220616 231123	0	0	0	1	hist	lossguide	256	0	1	0.282287830632867	0.353866025716372	8	2	0.00833697112890833	81	10632000	98
20220616 232453	0	0	0	1	hist	lossguide	256	0	1	0.0103363425335922	0.695347555290319	0	542	0.00834941578731864	76	2756000	99
20220616 232917	0	0	0	1	hist	lossguide	256	0	1	0.0100859307995262	0.777916894588211	4	656	0.0112891822367518	142	13360000	100
20220616 233352	0	0	0	1	hist	lossguide	256	0	1	0.010061910970917	0.906803144207344	3	654	0.0130933914623014	114	12433000	101
20220616 233720	0	0	0	1	hist	lossguide	256	0	1	0.0110019658405177	0.88820681153733	8	1024	0.0120229384608569	178	13121000	102
20220616 234127	0	0	0	1	hist	lossguide	256	0	1	0.0100479864739436	0.461181839397184	4	685	0.0110995854471032	126	13054000	103
20220616 234151	0	0	0	1	hist	lossguide	256	0	1	0.281028293339373	0.969974055266477	8	15	0.0150705720378401	16	11631000	104
20220616 234239	0	0	0	1	hist	lossguide	256	0	1	0.0984959263384448	0.769960053108516	3	814	0.0102429100527561	10	11422000	105
20220616 234259	0	0	0	1	hist	lossguide	256	0	1	0.299825359132573	0.400525067763473	7	3	0.0206748579688495	44	12082000	106
20220616 234354	0	0	0	1	hist	lossguide	256	0	1	0.162630734032788	0.683162769481675	8	2	0.0193513026265388	352	13355000	107
20220616 234429	0	0	0	1	hist	lossguide	256	0	1	0.17364384171844	0.934813378260091	9	2	0.019586710494988	184	12840000	108
20220616 234500	0	0	0	1	hist	lossguide	256	0	1	0.299339500433056	0.621944814447651	8	2	0.02384960293665	153	12203000	109
20220616 234547	0	0	0	1	hist	lossguide	256	0	1	0.135171807628062	0.792229371205042	8	2	0.0153120342480708	285	13349000	110
20220616 234900	0	0	0	1	hist	lossguide	256	0	1	0.0101596947924958	0.623597092051468	4	9	0.0159661529526765	575	13198000	111
20220616 234950	0	0	0	1	hist	lossguide	256	0	1	0.154582014678048	0.894756225798287	7	2	0.0193540532439104	254	12922000	112
20220616 235333	0	0	0	1	hist	lossguide	256	0	1	0.0100406082015354	0.675176521797263	4	1024	0.00971438161895437	66	12967000	113
20220616 235815	0	0	0	1	hist	lossguide	256	0	1	0.0100029843443205	0.726917943824707	4	377	0.0148679808553594	236	12752000	114
20220616 235846	0	0	0	1	hist	lossguide	256	0	1	0.160958595007893	0.799794593897885	10	2	0.0117417118936372	142	12629000	115
20220616 235934	0	0	0	1	hist	lossguide	256	0	1	0.0619535269789538	0.509255169989204	10	514	0.0147879735309235	29	13094000	116
20220617 000011	0	0	0	1	hist	lossguide	256	0	1	0.156572513050755	0.233436638862181	8	1024	0.0151832419333269	11	12282000	117
20220617 000347	0	0	0	1	hist	lossguide	256	0	1	0.010091914536112	0.638694464113741	8	4	0.0149565944886368	979	13530000	118
20220617 000850	0	0	0	1	hist	lossguide	256	0	1	0.0100944962123449	0.337425206814788	8	1011	0.0154544432077376	546	13023000	119
20220617 001259	0	0	0	1	hist	lossguide	256	0	1	0.0100826242179701	0.391899892580669	4	53	0.0182961850600357	309	12703000	120
