fecha	objective	metric	first_metric_only	boost_from_average	feature_pre_filter	verbosity	seed	max_bin	num_iterations	force_row_wise	seed	learning_rate	feature_fraction	min_data_in_leaf	num_leaves	prob_corte	lambda_l1	lambda_l2	max_depth	min_gain_to_split	ganancia	iteracion
20220620 203505	binary	custom	TRUE	TRUE	FALSE	-100	999983	31	12	TRUE	999983	0.151231375030087	0.694218612876203	2798	808	0.0116150024182086	26.771821309295	1.84404504446623	29	8.72956052829977	11651000	25
20220620 203512	binary	custom	TRUE	TRUE	FALSE	-100	999983	31	55	TRUE	999983	0.0746638203172349	0.799696249416512	5546	1443	0.0238624679049718	3.54655178380199	57.8137963395824	56	9.68122293829866	11378000	26
20220620 203520	binary	custom	TRUE	TRUE	FALSE	-100	999983	31	1	TRUE	999983	0.120875531368333	0.359360561856172	7544	1053	0.0491552020952373	12.7733477643536	98.5993829206564	76	6.10759125349836	0	27
20220620 203531	binary	custom	TRUE	TRUE	FALSE	-100	999983	31	41	TRUE	999983	0.099991550387931	0.319876727653253	6130	824	0.0409415550676015	16.1829513956844	17.1754622864278	21	8.1777154321834	6763000	28
20220620 203537	binary	custom	TRUE	TRUE	FALSE	-100	999983	31	1	TRUE	999983	0.248436698979866	0.439703367045149	1515	738	0.0452691347387844	93.3605436526705	12.6256651257993	71	0.532698252678124	0	29
20220620 203547	binary	custom	TRUE	TRUE	FALSE	-100	999983	31	22	TRUE	999983	0.145842583410106	0.573145900470101	2480	1269	0.0139094403176353	20.8141334154384	95.2550059792379	60	1.23763827762256	12685000	30
20220620 203551	binary	custom	TRUE	TRUE	FALSE	-100	999983	31	14	TRUE	999983	0.275937084436688	0.861773663929974	2295	445	0.0302708379329825	6.76135472410048	34.9291183416628	66	9.31493990123272	10413000	31
20220620 203556	binary	custom	TRUE	TRUE	FALSE	-100	999983	31	1	TRUE	999983	0.0969828951667296	0.88666478655715	6366	336	0.0337796358759213	95.7222128209347	92.707486591664	97	7.80103364480763	0	32
20220620 203603	binary	custom	TRUE	TRUE	FALSE	-100	999983	31	11	TRUE	999983	0.259918738793802	0.529026916033278	6884	240	0.0100775402790599	62.2236046758998	32.6920060906559	35	3.43776393972803	11231000	33
20220620 203612	binary	custom	TRUE	TRUE	FALSE	-100	999983	31	1	TRUE	999983	0.0864333681103178	0.27969616491658	1140	1313	0.0290022807043257	69.9036822925943	81.8904467599673	54	9.89928073883574	0	34
20220620 203620	binary	custom	TRUE	TRUE	FALSE	-100	999983	31	58	TRUE	999983	0.0591825293942303	0.909088336422833	2099	308	0.0264423003168001	79.3829230992641	90.2459262812044	14	4.80249350398986	1084000	35
20220620 203625	binary	custom	TRUE	TRUE	FALSE	-100	999983	31	18	TRUE	999983	0.123416121157417	0.91444228158022	5242	1419	0.0170413065393438	89.2762163485814	16.06180088905	95	1.54457715896165	10282000	36
20220620 203629	binary	custom	TRUE	TRUE	FALSE	-100	999983	31	1	TRUE	999983	0.297294306514604	0.811080975830555	7830	1186	0.0482781202445578	24.9725263177728	42.4602918171634	17	8.55064703979426	0	37
20220620 203714	binary	custom	TRUE	TRUE	FALSE	-100	999983	31	351	TRUE	999983	0.0305573612594485	0.462424064303438	1953	572	0.0375805903052592	0.101120323072084	28.5263885200645	42	1.03542985834388	10287000	38
20220620 203722	binary	custom	TRUE	TRUE	FALSE	-100	999983	31	39	TRUE	999983	0.223026226725532	0.866572376252674	3384	1108	0.0234238085270281	6.39180547624442	66.6332846862832	60	0.267681281148252	12310000	39
20220620 203729	binary	custom	TRUE	TRUE	FALSE	-100	999983	31	22	TRUE	999983	0.201166101722246	0.614793729101765	3915	1373	0.0214220885371299	8.77578767619825	39.3415773553876	42	2.70887148208194	12187000	40
20220620 203736	binary	custom	TRUE	TRUE	FALSE	-100	999983	31	44	TRUE	999983	0.21805208047232	0.771461089113797	5267	1468	0.022559571385497	37.24969349491	77.8856220424269	65	0.0929695524124014	11404000	41
20220620 203742	binary	custom	TRUE	TRUE	FALSE	-100	999983	31	20	TRUE	999983	0.216076694619402	0.901242281892742	1284	1143	0.0307828065791612	3.73184307841801	42.6881651357196	80	2.17400121161053	11535000	42
20220620 203749	binary	custom	TRUE	TRUE	FALSE	-100	999983	31	32	TRUE	999983	0.158725683207717	0.655506801056255	4122	988	0.0140409511815855	25.6911530267984	68.1822542415779	48	2.75287339891251	12116000	43
20220620 203801	binary	custom	TRUE	TRUE	FALSE	-100	999983	31	104	TRUE	999983	0.0987014158719682	0.652628997296537	1835	1002	0.0250929275301539	0.386128855772559	71.6343092338344	95	0.655864990107775	12641000	44
20220620 203811	binary	custom	TRUE	TRUE	FALSE	-100	999983	31	18	TRUE	999983	0.241976873244845	0.434627807255151	2789	1329	0.0259103566298012	16.3107407610502	73.1763229901184	61	3.30182759949355	12237000	45
20220620 203833	binary	custom	TRUE	TRUE	FALSE	-100	999983	31	158	TRUE	999983	0.031758650316506	0.595846287234183	6883	630	0.0212739796999543	0.206862742084397	22.0215018226984	65	5.38109636127066	12269000	46
20220620 203839	binary	custom	TRUE	TRUE	FALSE	-100	999983	31	15	TRUE	999983	0.260248771096349	0.655042931369343	1679	1352	0.0245710958492106	9.34709419393762	84.4203230725867	43	2.77802632530157	12058000	47
20220620 203919	binary	custom	TRUE	TRUE	FALSE	-100	999983	31	259	TRUE	999983	0.0182350601742587	0.578151500245081	2388	993	0.0181762689185828	15.2491372262058	61.1680171189385	84	0.802906118974589	12692000	48
20220620 203928	binary	custom	TRUE	TRUE	FALSE	-100	999983	31	7	TRUE	999983	0.13433456089298	0.571007701590613	2528	1108	0.00970331843857327	48.8452197398382	61.9985371232486	91	1.438984532983	12321000	49
20220620 203936	binary	custom	TRUE	TRUE	FALSE	-100	999983	31	29	TRUE	999983	0.169122664834624	0.623956101712739	6227	1031	0.026136155452236	0.183780595030834	21.5408296707473	40	7.16010194081216	11686000	50
20220620 203944	binary	custom	TRUE	TRUE	FALSE	-100	999983	31	22	TRUE	999983	0.166515767863543	0.592239335961515	3382	981	0.0186595788158512	36.321032562627	50.8551616344733	73	2.28177576069891	11895000	51
20220620 204018	binary	custom	TRUE	TRUE	FALSE	-100	999983	31	136	TRUE	999983	0.0197779900520621	0.45458839477851	5499	970	0.010661801940999	25.7703464997746	93.795817554178	90	0.861488097456803	11855000	52
20220620 204039	binary	custom	TRUE	TRUE	FALSE	-100	999983	31	82	TRUE	999983	0.0405006751412788	0.554618563710142	2214	1218	0.0118283033703448	0.526540118519491	79.7944605949889	88	7.26426138518417	12551000	53
20220620 204123	binary	custom	TRUE	TRUE	FALSE	-100	999983	31	255	TRUE	999983	0.0303604722665007	0.488082213091669	3630	1088	0.021567594588415	0.0862012331961051	80.7177180791874	42	0.985591495284027	12710000	54
20220620 204157	binary	custom	TRUE	TRUE	FALSE	-100	999983	31	209	TRUE	999983	0.0581746544052759	0.407044564637904	2212	1233	0.0112798896315159	0.667414818768721	26.2688331932389	60	0.628677223892562	12915000	55
20220620 204245	binary	custom	TRUE	TRUE	FALSE	-100	999983	31	217	TRUE	999983	0.0136252663197322	0.499888531636294	4474	697	0.00966104614351538	4.52023320259987	24.9111100124198	91	6.23877196794597	11738000	56
20220620 204251	binary	custom	TRUE	TRUE	FALSE	-100	999983	31	25	TRUE	999983	0.193009927883223	0.700698565451829	6705	1050	0.0125075825200731	69.3960132233289	88.7706998405286	88	0.837133450847181	11413000	57
20220620 204306	binary	custom	TRUE	TRUE	FALSE	-100	999983	31	66	TRUE	999983	0.0949910203144809	0.389137108891874	2480	1046	0.0146488280973625	2.58085898451742	73.3477275482709	76	1.14388611933784	13236000	58
20220620 204311	binary	custom	TRUE	TRUE	FALSE	-100	999983	31	10	TRUE	999983	0.247337504158122	0.964960028565284	2389	1255	0.00834940578835301	49.974584096887	23.136139885328	31	3.73819649182591	10092000	59
20220620 204329	binary	custom	TRUE	TRUE	FALSE	-100	999983	31	102	TRUE	999983	0.0991975706486232	0.324721658483486	1429	1056	0.0106237961715869	3.11158189510209	80.7898482485277	28	0.199131646405668	12788000	60
20220620 204337	binary	custom	TRUE	TRUE	FALSE	-100	999983	31	47	TRUE	999983	0.239659926151692	0.933916204968008	1597	276	0.0355171735326221	0.0514286039877264	84.943005055053	100	0.537911939115043	10831000	61
20220620 204401	binary	custom	TRUE	TRUE	FALSE	-100	999983	31	116	TRUE	999983	0.0518320090411931	0.412715371832977	4416	987	0.0157083597062275	0.0231893416719794	17.132090587	16	0.774245306502314	13458000	62
20220620 204428	binary	custom	TRUE	TRUE	FALSE	-100	999983	31	115	TRUE	999983	0.0642002801673281	0.496052686351002	1193	830	0.0150123830782662	1.36187775324451	24.5659025679577	22	0.0342666802454882	13354000	63
20220620 204457	binary	custom	TRUE	TRUE	FALSE	-100	999983	31	177	TRUE	999983	0.0519064708853775	0.303714545980054	2720	613	0.0108464075240652	0.273331004878733	8.62257036555796	29	0.00188542989425731	13077000	64
20220620 204528	binary	custom	TRUE	TRUE	FALSE	-100	999983	31	244	TRUE	999983	0.0521347477714392	0.425667790822924	2644	1052	0.013638016407506	0.104156649092432	31.6211247984623	10	0.841445498604897	13666000	65
20220620 204546	binary	custom	TRUE	TRUE	FALSE	-100	999983	31	48	TRUE	999983	0.0513138981072042	0.469839531171226	2512	1003	0.0151971126021336	0.36759478870379	0.280523759189365	21	2.38297911891956	13158000	66
20220620 204610	binary	custom	TRUE	TRUE	FALSE	-100	999983	31	229	TRUE	999983	0.0594491719401074	0.228788229567998	7482	745	0.0138619488167143	2.21219494166954	36.824999027903	14	1.5054924066743	12689000	67
20220620 204624	binary	custom	TRUE	TRUE	FALSE	-100	999983	31	53	TRUE	999983	0.117274211042396	0.403149518461647	2922	917	0.013230128235135	8.07494085422243	7.35088997859103	10	0.0143300807597389	13201000	68
20220620 204753	binary	custom	TRUE	TRUE	FALSE	-100	999983	31	920	TRUE	999983	0.0186706601539014	0.206419811881345	2674	1221	0.0143072294365981	0.348415507821075	52.7761899287573	30	0.105164591422295	13222000	69
20220620 204802	binary	custom	TRUE	TRUE	FALSE	-100	999983	31	37	TRUE	999983	0.194517306799809	0.203930060864103	6689	937	0.010974834683298	0.422091645302138	10.4515773292446	12	9.98942300097195	11519000	70
20220620 204826	binary	custom	TRUE	TRUE	FALSE	-100	999983	31	201	TRUE	999983	0.0481257008988238	0.815532039417411	2901	749	0.0136836586936472	0.505909103158695	53.7844538858706	30	0.0287199465138975	13270000	71
20220620 204914	binary	custom	TRUE	TRUE	FALSE	-100	999983	31	369	TRUE	999983	0.0129940519172216	0.825972188594759	2988	881	0.022791756057421	0.0787099839519066	17.161368454123	20	0.647800980131467	12312000	72
20220620 204927	binary	custom	TRUE	TRUE	FALSE	-100	999983	31	61	TRUE	999983	0.160394734906492	0.209598941829331	7761	554	0.0146882133011156	1.63959188075693	0.266513543083288	90	0.0106596246309618	13002000	73
20220620 204947	binary	custom	TRUE	TRUE	FALSE	-100	999983	31	161	TRUE	999983	0.0874232709768425	0.213223461589276	6011	444	0.0148046362873115	0.730181747045169	28.1664384154535	88	0.614690294111692	13059000	74
20220620 204954	binary	custom	TRUE	TRUE	FALSE	-100	999983	31	19	TRUE	999983	0.291236824193485	0.202600664194186	6373	779	0.0106737625580083	94.3048440474432	8.14135999406719	100	0.89132344715124	10955000	75
20220620 205017	binary	custom	TRUE	TRUE	FALSE	-100	999983	31	109	TRUE	999983	0.0556625565161447	0.504219327122463	1575	553	0.0124384958753826	12.0258084012454	50.681479928284	100	0.0933651215277324	13194000	76
20220620 205030	binary	custom	TRUE	TRUE	FALSE	-100	999983	31	81	TRUE	999983	0.109378843352784	0.206391042910407	7149	922	0.0165491284956886	33.3365476878162	0.293770858833696	37	0.400930172721849	12014000	77
20220620 205101	binary	custom	TRUE	TRUE	FALSE	-100	999983	31	231	TRUE	999983	0.0341235230995194	0.991666460308344	2232	336	0.01352987013904	0.134259127239117	13.6082750286036	58	0.0339680929995017	13422000	78
20220620 205120	binary	custom	TRUE	TRUE	FALSE	-100	999983	31	66	TRUE	999983	0.0918417508103151	0.557679050233641	2437	405	0.014374466818906	0.939064862623832	3.22561315163774	100	0.0168262037129338	13514000	79
20220620 205210	binary	custom	TRUE	TRUE	FALSE	-100	999983	31	343	TRUE	999983	0.0226381734862	0.546265652911772	2625	520	0.0137692965559409	11.0617818770358	12.195482163199	68	0.0278907988510562	13368000	80
20220620 205226	binary	custom	TRUE	TRUE	FALSE	-100	999983	31	43	TRUE	999983	0.207041979476298	0.67011232665732	3115	1382	0.0282654180596758	0.242969739573848	75.6800318943357	26	0.074878855852431	11617000	81
20220620 205236	binary	custom	TRUE	TRUE	FALSE	-100	999983	31	31	TRUE	999983	0.0939985034687827	0.900999519249958	7174	212	0.0172410980596613	0.0370158522704267	0.568299452686064	97	0.171898119444936	12879000	82
20220620 205242	binary	custom	TRUE	TRUE	FALSE	-100	999983	31	12	TRUE	999983	0.236280490138066	0.96217849305659	5101	689	0.0151566233303618	0.105652980454237	1.62247267945442	91	9.04938254537132	11958000	83
20220620 205253	binary	custom	TRUE	TRUE	FALSE	-100	999983	31	25	TRUE	999983	0.230158968767899	0.490683033433341	6794	207	0.0139617674412019	0.116576756068041	0.363835203378527	42	0.350547796846863	12631000	84
20220620 205313	binary	custom	TRUE	TRUE	FALSE	-100	999983	31	112	TRUE	999983	0.0457969835067297	0.876726171745615	3165	802	0.0140050327952894	0.287881425196636	12.5719204184488	24	0.0147026675626767	13054000	85
20220620 205331	binary	custom	TRUE	TRUE	FALSE	-100	999983	31	76	TRUE	999983	0.0551632608001337	0.477467962244739	4824	1418	0.0148024263662055	0.0127992977531975	60.6279152331527	10	6.73325756392121	12138000	86
20220620 205345	binary	custom	TRUE	TRUE	FALSE	-100	999983	31	49	TRUE	999983	0.0970879245148965	0.452449618329138	7936	201	0.0140294493377024	3.30458270486548	1.48986870547145	100	5.36429275349511	12583000	87
20220620 205411	binary	custom	TRUE	TRUE	FALSE	-100	999983	31	179	TRUE	999983	0.0388974610496995	0.979595935134106	1319	830	0.0133131816303497	0.113044714421362	61.2505621407563	64	0.168154066569757	12861000	88
20220620 205420	binary	custom	TRUE	TRUE	FALSE	-100	999983	31	50	TRUE	999983	0.106928037319392	0.776640112666654	4500	203	0.0232132267201857	0.1647502049032	0.620428036567185	98	1.08418059681698	12069000	89
20220620 205428	binary	custom	TRUE	TRUE	FALSE	-100	999983	31	27	TRUE	999983	0.2792955756718	0.211599704555881	3798	1434	0.0087340060722729	4.25928637618188	95.7345757881953	100	7.10841709221091	11256000	90
20220620 205449	binary	custom	TRUE	TRUE	FALSE	-100	999983	31	58	TRUE	999983	0.230995480929921	0.508535657538048	2147	682	0.0113608129964898	0.178509711440701	92.4315328164457	100	0.0169449228913526	12809000	91
20220620 205515	binary	custom	TRUE	TRUE	FALSE	-100	999983	31	129	TRUE	999983	0.0606054618089814	0.467503263611442	2590	711	0.0135778609064983	0.14549036777614	30.7505749193513	23	0.0340952809504606	13373000	92
20220620 205523	binary	custom	TRUE	TRUE	FALSE	-100	999983	31	6	TRUE	999983	0.238051896718888	0.547707924282131	1001	202	0.0112577883138373	0.299369037480077	1.48780168286706	98	7.5432799568977	11586000	93
20220620 205531	binary	custom	TRUE	TRUE	FALSE	-100	999983	31	58	TRUE	999983	0.102352877084731	0.949498321762645	3825	1089	0.0275718703570025	0.970134772278624	74.9436679145636	100	3.92671795014144	11357000	94
20220620 205547	binary	custom	TRUE	TRUE	FALSE	-100	999983	31	74	TRUE	999983	0.07458896595237	0.600575022283328	6374	223	0.0124335996167675	0.128522022955898	0.781642337504651	76	0.711180464212328	12796000	95
20220620 205557	binary	custom	TRUE	TRUE	FALSE	-100	999983	31	18	TRUE	999983	0.0619172770525107	0.626895258937585	1329	326	0.00841680169578084	7.97764782194867	98.8899002117787	96	3.25255809714165	12296000	96
20220620 205602	binary	custom	TRUE	TRUE	FALSE	-100	999983	31	12	TRUE	999983	0.299978857431982	0.984075160830031	7926	1042	0.0165802862343932	22.7119704654396	13.5696895488942	10	9.24630724128479	10864000	97
20220620 205617	binary	custom	TRUE	TRUE	FALSE	-100	999983	31	60	TRUE	999983	0.0812258673654921	0.371614827155604	7929	1019	0.0225647867546292	0.487623616643073	75.9737363399424	91	3.1121756420348	12264000	98
20220620 205643	binary	custom	TRUE	TRUE	FALSE	-100	999983	31	289	TRUE	999983	0.0249171341220622	0.787638548798833	1557	284	0.0149480423694163	0.0747071367933241	17.5977829606417	59	1.22187745505684	13300000	99
20220620 205650	binary	custom	TRUE	TRUE	FALSE	-100	999983	31	51	TRUE	999983	0.0917972179980508	0.972583619754433	7992	204	0.00982996812541128	0.0948670610453532	68.1559459098501	69	8.13958794456039	11370000	100
20220620 205658	binary	custom	TRUE	TRUE	FALSE	-100	999983	31	10	TRUE	999983	0.286447082151618	0.248978402322428	7995	881	0.00838032683517369	84.903921206655	90.539898363691	100	9.34595870398387	10099000	101
20220620 205741	binary	custom	TRUE	TRUE	FALSE	-100	999983	31	331	TRUE	999983	0.0192698636275828	0.94671628825787	1813	304	0.0113550937238226	0.201798004283904	43.5010333846915	20	0.0292684860869951	12880000	102
20220620 205747	binary	custom	TRUE	TRUE	FALSE	-100	999983	31	11	TRUE	999983	0.173998057886539	0.973114225895042	2593	203	0.013592841610755	16.7825743852273	9.36357294738857	100	1.7329942063622	11927000	103
